Name1 Surname1 7,78 4,41 3,01 6,43 8,23 3,6
Name2 Surname2 9,41 0,4 8,16 4,42 0,51 2,51
Name3 Surname3 9,41 0,4 8,16 4,42 0,51 2,51
Name4 Surname4 9,41 0,4 8,16 4,42 0,51 2,51
Name5 Surname5 9,41 0,4 8,16 4,42 0,51 2,51
Name6 Surname6 9,41 0,4 8,16 4,42 0,51 2,51
Name7 Surname7 9,41 0,4 8,16 4,42 0,51 2,51
Name8 Surname8 9,41 0,4 8,16 4,42 0,51 2,51
Name9 Surname9 9,41 0,4 8,16 4,42 0,51 2,51
Name10 Surname10 9,41 0,4 8,16 4,42 0,51 2,51
Name11 Surname11 9,41 0,4 8,16 4,42 0,51 2,51
Name12 Surname12 9,41 0,4 8,16 4,42 0,51 2,51
Name13 Surname13 9,41 0,4 8,16 4,42 0,51 2,51
Name14 Surname14 9,41 0,4 8,16 4,42 0,51 2,51
Name15 Surname15 9,41 0,4 8,16 4,42 0,51 2,51
Name16 Surname16 9,41 0,4 8,16 4,42 0,51 2,51
Name17 Surname17 9,41 0,4 8,16 4,42 0,51 2,51
Name18 Surname18 9,41 0,4 8,16 4,42 0,51 2,51
Name19 Surname19 9,41 0,4 8,16 4,42 0,51 2,51
Name20 Surname20 9,41 0,4 8,16 4,42 0,51 2,51
Name21 Surname21 9,41 0,4 8,16 4,42 0,51 2,51
Name22 Surname22 9,41 0,4 8,16 4,42 0,51 2,51
Name23 Surname23 9,41 0,4 8,16 4,42 0,51 2,51
Name24 Surname24 5,83 3,45 6,32 0,27 8,27 2,69
Name25 Surname25 5,83 3,45 6,32 0,27 8,27 2,69
Name26 Surname26 5,83 3,45 6,32 0,27 8,27 2,69
Name27 Surname27 5,83 3,45 6,32 0,27 8,27 2,69
Name28 Surname28 5,83 3,45 6,32 0,27 8,27 2,69
Name29 Surname29 5,83 3,45 6,32 0,27 8,27 2,69
Name30 Surname30 5,83 3,45 6,32 0,27 8,27 2,69
Name31 Surname31 5,83 3,45 6,32 0,27 8,27 2,69
Name32 Surname32 5,83 3,45 6,32 0,27 8,27 2,69
Name33 Surname33 5,83 3,45 6,32 0,27 8,27 2,69
Name34 Surname34 5,83 3,45 6,32 0,27 8,27 2,69
Name35 Surname35 5,83 3,45 6,32 0,27 8,27 2,69
Name36 Surname36 5,83 3,45 6,32 0,27 8,27 2,69
Name37 Surname37 5,83 3,45 6,32 0,27 8,27 2,69
Name38 Surname38 5,83 3,45 6,32 0,27 8,27 2,69
Name39 Surname39 5,83 3,45 6,32 0,27 8,27 2,69
Name40 Surname40 5,83 3,45 6,32 0,27 8,27 2,69
Name41 Surname41 5,83 3,45 6,32 0,27 8,27 2,69
Name42 Surname42 5,83 3,45 6,32 0,27 8,27 2,69
Name43 Surname43 5,83 3,45 6,32 0,27 8,27 2,69
Name44 Surname44 5,83 3,45 6,32 0,27 8,27 2,69
Name45 Surname45 5,83 3,45 6,32 0,27 8,27 2,69
Name46 Surname46 5,83 3,45 6,32 0,27 8,27 2,69
Name47 Surname47 5,83 3,45 6,32 0,27 8,27 2,69
Name48 Surname48 5,83 3,45 6,32 0,27 8,27 2,69
Name49 Surname49 5,83 3,45 6,32 0,27 8,27 2,69
Name50 Surname50 5,83 3,45 6,32 0,27 8,27 2,69
Name51 Surname51 5,83 3,45 6,32 0,27 8,27 2,69
Name52 Surname52 5,83 3,45 6,32 0,27 8,27 2,69
Name53 Surname53 5,83 3,45 6,32 0,27 8,27 2,69
Name54 Surname54 5,83 3,45 6,32 0,27 8,27 2,69
Name55 Surname55 5,83 3,45 6,32 0,27 8,27 2,69
Name56 Surname56 5,83 3,45 6,32 0,27 8,27 2,69
Name57 Surname57 5,83 3,45 6,32 0,27 8,27 2,69
Name58 Surname58 5,83 3,45 6,32 0,27 8,27 2,69
Name59 Surname59 5,83 3,45 6,32 0,27 8,27 2,69
Name60 Surname60 5,83 3,45 6,32 0,27 8,27 2,69
Name61 Surname61 5,83 3,45 6,32 0,27 8,27 2,69
Name62 Surname62 5,83 3,45 6,32 0,27 8,27 2,69
Name63 Surname63 5,83 3,45 6,32 0,27 8,27 2,69
Name64 Surname64 5,83 3,45 6,32 0,27 8,27 2,69
Name65 Surname65 5,83 3,45 6,32 0,27 8,27 2,69
Name66 Surname66 5,83 3,45 6,32 0,27 8,27 2,69
Name67 Surname67 5,83 3,45 6,32 0,27 8,27 2,69
Name68 Surname68 5,83 3,45 6,32 0,27 8,27 2,69
Name69 Surname69 5,83 3,45 6,32 0,27 8,27 2,69
Name70 Surname70 5,83 3,45 6,32 0,27 8,27 2,69
Name71 Surname71 5,83 3,45 6,32 0,27 8,27 2,69
Name72 Surname72 5,83 3,45 6,32 0,27 8,27 2,69
Name73 Surname73 5,83 3,45 6,32 0,27 8,27 2,69
Name74 Surname74 5,83 3,45 6,32 0,27 8,27 2,69
Name75 Surname75 5,83 3,45 6,32 0,27 8,27 2,69
Name76 Surname76 5,83 3,45 6,32 0,27 8,27 2,69
Name77 Surname77 5,83 3,45 6,32 0,27 8,27 2,69
Name78 Surname78 5,83 3,45 6,32 0,27 8,27 2,69
Name79 Surname79 5,83 3,45 6,32 0,27 8,27 2,69
Name80 Surname80 5,83 3,45 6,32 0,27 8,27 2,69
Name81 Surname81 5,83 3,45 6,32 0,27 8,27 2,69
Name82 Surname82 5,83 3,45 6,32 0,27 8,27 2,69
Name83 Surname83 5,83 3,45 6,32 0,27 8,27 2,69
Name84 Surname84 5,83 3,45 6,32 0,27 8,27 2,69
Name85 Surname85 5,83 3,45 6,32 0,27 8,27 2,69
